Población por distritos y secciones censales de Bizkaia, según sexo, grupos de edad y nacionalidad. 01/01/2019
Población según el sexo;Grupos de edad (%);Extranjeros (%)
Total;Hombres;Mujeres;Sex ratio;0-19;20-64;>=65;UE-27;Resto
Cod;Municipio;Dist;Secc
07;653;304;349;0,871;18,4;62,2;19,4;2,9;12,4
08;1698;829;869;0,954;23,3;64,5;12,1;2,2;5,4
09;1096;495;601;0,824;14,1;56,8;29;2,1;9,1
10;1276;614;662;0,927;17,3;66;16,7;1,6;7,6
11;2678;1347;1331;1,012;24,3;65,8;9,8;1,1;2,2
03;00;7196;3360;3836;0,876;15,6;59,5;24,9;1,4;6,8
01;920;417;503;0,829;16,1;60,1;23,8;1,6;8,6
02;1346;659;687;0,959;17,2;60,7;22,1;1,7;6,9
03;782;352;430;0,819;14,7;62,1;23,1;1,2;7,2
04;1048;473;575;0,823;14,5;57,2;28,3;1,6;9,5
05;724;333;391;0,852;13;54,8;32,2;1,4;6,8
06;756;355;401;0,885;15,5;61,5;23;2,4;6,2
07;689;331;358;0,925;16,7;56;27,3;1,2;5,1
08;931;440;491;0,896;16,3;61,9;21,8;0,4;3
04;00;10744;5019;5725;0,877;16,4;58,4;25,2;1,5;6,2
01;897;430;467;0,921;13,6;59,1;27,3;1,4;8,7
02;618;287;331;0,867;11;54;35;3,7;5,3
03;880;425;455;0,934;14,8;61,7;23,5;2,5;7,2
04;1208;558;650;0,858;17,5;61,3;21,2;1,3;8,5
05;745;344;401;0,858;18,4;64,2;17,4;1,5;13
06;765;358;407;0,88;16,2;62;21,8;2,2;8,2
07;1296;589;707;0,833;14,2;46,1;39,7;1,5;6,4
08;1210;573;637;0,9;21,1;61,2;17,8;0,2;1,8
09;959;430;529;0,813;18,2;60,3;21,5;2,2;8,2
10;905;431;474;0,909;14,3;55,1;30,6;0,4;2,8
11;1261;594;667;0,891;18,3;60,1;21,6;0,5;1,9
05;00;14662;6962;7700;0,904;16,9;57,6;25,5;0,9;4,1
01;1707;770;937;0,822;11,7;54,9;33,4;1,2;2,8
02;1310;650;660;0,985;15,6;54,4;29,9;0,9;3,1
03;1517;695;822;0,845;15,4;63,4;21,2;1,3;11,9
04;735;336;399;0,842;15,8;61;23,3;1,8;7,5
05;2032;951;1081;0,88;16,5;54,1;29,4;1,4;2,5
06;1156;511;645;0,792;14;52,9;33;0,5;4,4
07;1134;535;599;0,893;11,6;48,6;39,8;0,8;5,3
08;1075;489;586;0,834;11,3;48,7;39,9;0,8;3
09;1465;740;725;1,021;26,1;68,9;5;0,2;2,3
10;992;464;528;0,879;15,8;56,8;27,4;0,6;1,9
11;1539;821;718;1,143;28,1;66,6;5,3;0,2;1,7
06;00;13799;6542;7257;0,901;15,8;59;25,3;1,2;4,5
01;1553;701;852;0,823;13,8;58,6;27,6;0,6;4,8
02;919;437;482;0,907;15;59,2;25,8;0,3;10
03;918;453;465;0,974;10;54,8;35,2;0,8;2,5
04;1072;497;575;0,864;14,5;55,9;29,7;1,2;4,1
05;1149;528;621;0,85;17,6;63,4;19;1,6;7
06;736;363;373;0,973;17,8;60,5;21,7;2,2;3,4
07;1220;566;654;0,865;18,9;62;19;1,6;7,3
08;821;401;420;0,955;9,1;52,5;38,4;2,3;1,8
09;866;412;454;0,907;8,2;62,8;29;0,3;3,5
10;1274;616;658;0,936;21,2;54,7;24,1;0,6;0,9
11;1085;510;575;0,887;16,3;59,4;24,2;1,4;4,1
12;1236;614;622;0,987;21,8;64,6;13,7;1;1,9
13;950;444;506;0,877;16,1;56,1;27,8;2,9;7,2
07;00;8819;4422;4397;1,006;22;61,3;16,7;1,5;5,2
01;1765;868;897;0,968;18,9;55,1;26;1,6;5,6
02;1277;641;636;1,008;17,7;62;20,3;1,6;7
03;2160;1087;1073;1,013;21,4;61,1;17,5;1,4;2,9
04;1789;908;881;1,031;22,2;66,1;11,7;1,4;7,2
05;1828;918;910;1,009;28,4;62,5;9,1;1,8;4,2
08;00;9414;4664;4750;0,982;17,9;60,6;21,5;1;5,9
01;1140;581;559;1,039;21,7;63,4;14,9;0,7;4,8
02;1938;992;946;1,049;17,6;67;15,4;1,5;5,8
03;1104;552;552;1;22,1;63,4;14,5;1,4;3,4
04;1160;563;597;0,943;13,7;53,4;32,9;0,3;5
05;806;380;426;0,892;15,8;51,5;32,8;0;5,3
