Población por distritos y secciones censales de Gipuzkoa, según sexo, grupos de edad y nacionalidad. 01/01/2019
Población según el sexo;Grupos de edad (%);Extranjeros (%)
Total;Hombres;Mujeres;Sex ratio;0-19;20-64;>=65;UE-27;Resto
Cod;Municipio;Dist;Secc
09;1314;666;648;1,028;19,9;64,5;15,6;6,4;4,9
020;Beizama;01;00;120;80;40;2;20;58,3;21,7;1,7;2,5
01;120;80;40;2;20;58,3;21,7;1,7;2,5
021;Belauntza;01;00;258;134;124;1,081;19;54,7;26,4;3,5;3,1
01;258;134;124;1,081;19;54,7;26,4;3,5;3,1
022;Berastegi;01;00;1053;542;511;1,061;21,5;59,7;18,8;0,9;1,2
01;1053;542;511;1,061;21,5;59,7;18,8;0,9;1,2
023;Berrobi;01;00;613;314;299;1,05;22,3;58,9;18,8;1,3;6
01;613;314;299;1,05;22,3;58,9;18,8;1,3;6
024;Bidania-Goiatz;01;00;557;290;267;1,086;23,7;59,8;16,5;0,5;3,1
01;557;290;267;1,086;23,7;59,8;16,5;0,5;3,1
025;Zegama;01;00;1532;804;728;1,104;22,7;58,2;19,1;4,8;3,3
01;1532;804;728;1,104;22,7;58,2;19,1;4,8;3,3
026;Zerain;01;00;266;123;143;0,86;20,7;53;26,3;0,8;2,3
01;266;123;143;0,86;20,7;53;26,3;0,8;2,3
027;Zestoa;01;00;3833;2003;1830;1,095;21,7;59,2;19,2;0,8;7
01;2408;1256;1152;1,09;20,8;60;19,1;0,9;8,3
02;1425;747;678;1,102;23;57,7;19,3;0,6;4,9
028;Zizurkil;01;00;3029;1512;1517;0,997;21,7;57;21,3;2;5,8
01;1951;989;962;1,028;23,5;57,5;19;1,6;3,5
02;1078;523;555;0,942;18,5;56;25,5;2,9;9,9
029;Deba;02;00;5445;2732;2713;1,007;19,1;58;22,9;1,1;4,9
01;00;4415;2209;2206;1,001;18,3;58,2;23,5;0,8;5,3
01;1654;812;842;0,964;17;57,4;25,5;0,6;6,2
02;1751;891;860;1,036;18,4;54,7;26,9;1,3;5,9
03;1010;506;504;1,004;19,9;65,6;14,5;0,4;2,9
02;00;1030;523;507;1,032;22,6;57,1;20,3;2,2;3,1
01;1030;523;507;1,032;22,6;57,1;20,3;2,2;3,1
030;Eibar;05;00;27246;13216;14030;0,942;18,2;57,1;24,6;0,7;8,1
01;00;6902;3247;3655;0,888;17;56,3;26,7;0,4;7,1
01;1700;769;931;0,826;19,2;55,5;25,2;0,4;3,9
02;1330;618;712;0,868;14,5;55,3;30,2;0,2;7,7
03;1029;472;557;0,847;14,5;54,5;31;0,7;8,3
04;1468;706;762;0,927;16;57,2;26,8;0,1;6,3
05;1375;682;693;0,984;19,5;58,8;21,7;0,9;10,5
02;00;5839;2869;2970;0,966;17,9;56,1;26;0,9;7,9
01;1066;519;547;0,949;19,4;60,6;20;0,6;6,6
02;1148;547;601;0,91;13,8;49,3;36,9;0,2;8,2
03;1126;551;575;0,958;13,5;54,1;32,4;2,1;6,9
04;1314;684;630;1,086;20,1;60,2;19,7;0,6;10,8
05;1185;568;617;0,921;22,4;55,9;21,6;0,9;6,4
03;00;3336;1612;1724;0,935;15,9;59,3;24,7;1;7
01;1693;847;846;1,001;15,9;64;20,1;1,3;10,5
03;880;405;475;0,853;15,1;55,3;29,5;0,6;4,1
04;763;360;403;0,893;17;53,5;29,5;0,8;2,6
04;00;6139;2990;3149;0,95;18,9;58,6;22,5;0,8;8,2
01;1157;568;589;0,964;19,4;61,3;19,4;1,1;6,8
02;980;470;510;0,922;18,1;57;24,9;0,6;9,5
03;1253;588;665;0,884;17,7;56,4;25,9;0,7;3,7
